index,session_id,baseDate,movingPath,pathSize,movingCount
369,1107,20190923,"['애월해안로', '판포해변(포구)', '애월해안로', '판포해변(포구)', '애월해안로', '애월해안로', '판포해변(포구)', '영화문화예술센터', '삼무공원', '남서광마을입구(남)']",21,1
370,1110,20190924,"['2코스', 'KT성산포지점', '2코스', '2코스']",5,1
371,1111,20190924,"['2코스', '2코스', '광치기해변']",4,1
372,1113,20190924,"['19코스', '함덕비석거리(남)', '제주항국제여객터미널', '신산공원', '삼성혈', '국수문화거리', '신산공원', '삼성혈', '제주항국제여객터미널', '함덕비석거리(남)']",15,1
373,1115,20190924,"['19코스', '19코스', '사라봉오거리', '노형근린공원', '케이티앤지', '사라봉오거리', '케이티앤지', '삼무공원', '용문마을(서)']",18,1
374,1117,20190924,"['13코스', '마라해양도립공원', '송악산', '외도구획정리지구']",7,1
375,1118,20190924,"['14코스', '15코스', '곽지과물해변', '애월해안로']",6,1
376,1123,20190925,"['노형근린공원', '롯데마트', '노형근린공원']",3,5
377,1124,20190925,"['동문시장', '그레이스호텔', '중앙로사거리', '동문시장', '그레이스호텔', '동문시장', '동문시장']",9,1
378,1129,20190925,"['용두암', '동산교', '동산교']",17,1
379,1133,20190926,"['14코스', '생각하는정원', '14코스', '김창열미술관', '생각하는정원', '김창열미술관', '14코스', '생각하는정원']",8,1
380,1135,20190926,"['삼무공원', '원노형', '삼무공원', '동산교', '원노형', '동산교', '원노형', '동산교']",17,1
381,1137,20190926,"['애월해안로', '한라수목원', '한라수목원']",5,1
382,1138,20190926,"['용두암', '원노형', '용두암']",13,1
383,1142,20190927,"['노형근린공원', '한라수목원', '노형근린공원']",3,1
384,1147,20190927,"['11코스', '테디베어뮤지엄', '중문관광단지']",5,1
385,1149,20190927,"['14코스', '생각하는정원', '14코스', '생각하는정원']",4,1
386,1150,20190928,"['천제연폭포', '중문관광단지', '믿거나말거나박물관']",6,1
387,1154,20190928,"['13코스', '알프스얼음보석궁전', '산방산', '산방산']",11,1
388,1155,20190928,"['13코스', '월령포구', '애월해안로', '19코스', '19코스']",18,1
389,1156,20190928,"['14코스', '롯데마트', '방일리공원']",10,1
390,1163,20190929,"['교래자연휴양림', '20코스', '해녀박물관', '교래자연휴양림', '20코스']",6,1
391,1167,20190929,"['교래자연휴양림', '함덕비석거리(남)', '동문시장', '함덕비석거리(남)']",7,1
392,1173,20190930,"['15코스', '용두암', '제주민속오일장', '도두봉공원', '용담해안 카페촌거리', '케이티앤지']",6,1
393,1177,20190930,"['18코스', '삼양1동', '동문시장']",3,1
394,1178,20190930,"['18코스', '일도이동공영주차장', '일도이동공영주차장']",7,1
