totCnt,hasMore,data
292377,True,"{'baseDate': '20240515', 'macAddress': 'e1d4936994202cd026fb88c325ccc0ea2859d39d928e4d7097046976d063cc0f', 'apGroupName': '6코스', 'installLocationDetail': 'KT전주 - 서 올레길방향', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 보목동', 'addressDetail': '서귀포시 보목동 1442-1', 'latitude': '33.24378', 'longitude': '126.587879'}"
292377,True,"{'baseDate': '20240515', 'macAddress': 'b5ff603ca3b970c5741da37d90e653ac9def1568cb8153c6d1a7f963308556d4', 'apGroupName': '10-1코스', 'installLocationDetail': '가파리사무소 외벽 -동', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 대정읍 가파리', 'addressDetail': '서귀포시 대정읍 가파리 70-1(가파로 73)', 'latitude': '33.166693', 'longitude': '126.274054'}"
292377,True,"{'baseDate': '20240515', 'macAddress': '99d11dac81f53e0b226c57c0f1e6aa846dd069adefc31ee3a8bc93ca50208df3', 'apGroupName': '20코스', 'installLocationDetail': 'IP주 해녀촌방향', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 제주시 구좌읍 김녕리', 'addressDetail': '제주시 구좌읍 김녕리 497-9', 'latitude': '33.558026', 'longitude': '126.75548'}"
292377,True,"{'baseDate': '20240515', 'macAddress': '8853223e6f44de8129eb4bac98caec8a7cefda16e4fa75f0ad7b42945d913c54', 'apGroupName': '19코스', 'installLocationDetail': 'IP주 동 정자방향', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 제주시 조천읍 함덕리', 'addressDetail': '제주시 조천읍 함덕리 3113-5', 'latitude': '33.546054', 'longitude': '126.66216'}"
292377,True,"{'baseDate': '20240515', 'macAddress': '224524e04768211e9be826cd587df2e141685fd722e7687da0bf599be0586fb7', 'apGroupName': '6코스', 'installLocationDetail': '전시관 외벽 - 동쪽 정방폭포', 'category': '올레코스', 'categoryDetail': '올레코스', 'addressDong': '제주특별자치도 서귀포시 서귀동', 'addressDetail': '서귀포시 서귀동 100-2', 'latitude': '33.2451', 'longitude': '126.571293'}"
146373,True,"{'baseDate': '20240515', 'macAddress': 'afc64a02f13dcfab60986823366e5e80ac2fae0340693feedb9219ef9f64b592', 'apGroupName': '제주동문시장', 'installLocationDetail': '9번게이트 옆 KT주', 'category': '전통시장', 'categoryDetail': '전통시장', 'addressDong': '제주특별자치도 제주시 일도일동', 'addressDetail': '제주시 일도일동 1102-54 앞', 'latitude': '33.51156', 'longitude': '126.5282'}"
146373,True,"{'baseDate': '20240515', 'macAddress': 'e6dcc7f712936df5208c16f1816622d288692a676350f1e96019bec2ec8a43d1', 'apGroupName': '모슬포중앙시장', 'installLocationDetail': '상가 간판대-남 (정민농수산)', 'category': '전통시장', 'categoryDetail': '전통시장', 'addressDong': '제주특별자치도 서귀포시 대정읍 하모리', 'addressDetail': '서귀포시 대정읍 하모리 822-7', 'latitude': '33.222173', 'longitude': '126.254768'}"
146373,True,"{'baseDate': '20240515', 'macAddress': '80c5234beab3ef24b4cd2e97871ee645e49466cfb3b97f8092d105a21e1e7c02', 'apGroupName': '제주민속오일장', 'installLocationDetail': '남쪽입구 화장실 처마', 'category': '전통시장', 'categoryDetail': '전통시장', 'addressDong': '제주특별자치도 제주시 도두일동', 'addressDetail': '제주시 도두일동 1212(오일장서길 26)', 'latitude': '33.495623', 'longitude': '126.475642'}"
1120,True,"{'baseDate': '20220503', 'macAddress': 'f4463d11b1af1c328117ae9929f0dbf2301f85ae945f0d23748e28683d7831e2', 'apGroupName': '한라산국립공원_윗세오름대피소', 'installLocationDetail': '대피소2 내', 'category': '한라산', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 제주시 애월읍 광령리', 'addressDetail': '제주시 애월읍 광령리 산 183-6', 'latitude': '33.361873', 'longitude': '126.517576'}"
1120,True,"{'baseDate': '20220503', 'macAddress': '022d1202a2e23eeb22272ee920516f0ec17b300ef02cf054c0409d782c18f95d', 'apGroupName': '한라산국립공원_진달래밭대피소', 'installLocationDetail': '진달래밭 대피소 내 pvc함체내', 'category': '한라산', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 서귀포시 남원읍 하례리', 'addressDetail': '서귀포시 남원 하례리 산1-7', 'latitude': '33.369655', 'longitude': '126.555516'}"
1120,True,"{'baseDate': '20220503', 'macAddress': 'e788066d7bfb7bf60fcb954d239e5e1484b5fc146a63172c1e39e2ef72a414d5', 'apGroupName': '한라산국립공원_백록담', 'installLocationDetail': '백록담 대피소 아래 pvc함체내(비번1669)', 'category': '한라산', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 서귀포시 토평동', 'addressDetail': '서귀포시 토평동 산 15-1', 'latitude': '33.360816', 'longitude': '126.536867'}"
57527,True,"{'baseDate': '20240515', 'macAddress': '3a3f92860632ff21795d5abfeb1f777c0b53057b46711c83cce6d414810ba432', 'apGroupName': '한라생태숲', 'installLocationDetail': '관리시험연구동 내부', 'category': '숲길', 'categoryDetail': '숲길', 'addressDong': '제주특별자치도 제주시 용강동', 'addressDetail': '제주시 516로 2596(용강동)', 'latitude': '33.430803', 'longitude': '126.596469'}"
57527,True,"{'baseDate': '20240515', 'macAddress': '343c733f93d339787bb3657fff93abd0fd86358fd2ccd1b3b47f2fbaa08f0025', 'apGroupName': '서귀포 치유의 숲', 'installLocationDetail': '화장실 옥상 - 동', 'category': '숲길', 'categoryDetail': '숲길', 'addressDong': '제주특별자치도 서귀포시 호근동', 'addressDetail': '서귀포시 산록남로 2271', 'latitude': '33.300562', 'longitude': '126.521762'}"
57527,True,"{'baseDate': '20240515', 'macAddress': 'ffd8e6745aa3157fb971fdf3d13c4205bee4aa0f5a877e86d45ef89afb5414d2', 'apGroupName': '사려니숲길', 'installLocationDetail': 'ip주 공연장 방향', 'category': '숲길', 'categoryDetail': '숲길', 'addressDong': '제주특별자치도 서귀포시 표선면 가시리', 'addressDetail': '서귀포시 표선면 가시리 산 158', 'latitude': '33.394355', 'longitude': '126.683478'}"
57527,True,"{'baseDate': '20240515', 'macAddress': 'a76b8e6adcd48f502359875e049b81e3a56e53419955bfce74bdbca1d7c74907', 'apGroupName': '한라생태숲', 'installLocationDetail': '관리시험연구동 지붕 서', 'category': '숲길', 'categoryDetail': '숲길', 'addressDong': '제주특별자치도 제주시 용강동', 'addressDetail': '제주시 516로 2596(용강동)', 'latitude': '33.430362', 'longitude': '126.595728'}"
175495,True,"{'baseDate': '20240515', 'macAddress': 'c120ec6ab163af586c18262b88bca5ab58289eea20c593574b401e545bfa31f1', 'apGroupName': '용담해안 카페촌거리', 'installLocationDetail': 'IP주상단 해안도로 동쪽', 'category': '테마거리', 'categoryDetail': '테마거리', 'addressDong': '제주특별자치도 제주시 용담삼동', 'addressDetail': '제주시 서해안로 516', 'latitude': '33.520227', 'longitude': '126.49432'}"
